Arc Length	Comp 22 of Stress
 9.4500000000000e+00	 1.6450698123656e+04
 9.5000000000000e+00	 1.7704698903536e+04
 9.5500000000000e+00	 1.8958713297385e+04
 9.6000000000000e+00	 2.0212729010798e+04
 9.6500000000000e+00	 2.1465649828048e+04
 9.7000000000000e+00	 2.2718561730415e+04
 9.7500000000000e+00	 2.3971480416501e+04
 9.8000000000000e+00	 2.5224400357185e+04
 9.8500000000000e+00	 2.5838026238211e+04
 9.9000000000000e+00	 2.6449343801238e+04
 9.9500000000000e+00	 2.7060661560290e+04
		10	 2.7671461218262e+04
